12:26:51.312 [main] INFO  api.test.CategoryTreeTest {36} - *****************Verified CategoryTree API Response ******************
14:07:41.784 [main] INFO  api.test.CategoryTreeTest {36} - *****************Calling CategoryTree API******************
14:07:44.716 [main] INFO  api.test.CategoryTreeTest {36} - *****************Called CategoryTree API******************
14:07:44.738 [main] INFO  api.test.CategoryTreeTest {36} - ************Calling CategoryTree API with invalid Querry Parameter ***********
14:07:44.974 [main] INFO  api.test.CategoryTreeTest {36} - *****************Calling CategoryTree API withour Querry Parameter ******************
14:07:45.196 [main] INFO  api.test.CategoryTreeTest {36} - *****************Calling CategoryTree API with invalid Querry Parameter to verfy the Error Code & Error Message ******************
14:07:45.386 [main] INFO  api.test.CategoryTreeTest {36} - *****************Calling CategoryTree API with valid data ******************
14:07:45.920 [main] INFO  api.test.CategoryTreeTest {36} - *****************Verified CategoryTree API Response ******************
14:13:48.104 [main] INFO  api.test.CategoryTreeTest {36} - *****************Calling CategoryTree API******************
14:13:50.645 [main] INFO  api.test.CategoryTreeTest {36} - *****************Called CategoryTree API******************
14:13:50.678 [main] INFO  api.test.CategoryTreeTest {36} - ************Calling CategoryTree API with invalid Querry Parameter ***********
14:13:50.932 [main] INFO  api.test.CategoryTreeTest {36} - *****************Calling CategoryTree API withour Querry Parameter ******************
14:13:51.132 [main] INFO  api.test.CategoryTreeTest {36} - *****************Calling CategoryTree API with invalid Querry Parameter to verfy the Error Code & Error Message ******************
14:13:51.380 [main] INFO  api.test.CategoryTreeTest {36} - *****************Calling CategoryTree API with valid data ******************
14:13:51.820 [main] INFO  api.test.CategoryTreeTest {36} - *****************Verified CategoryTree API Response ******************
15:40:05.405 [main] INFO  api.test.CategoryTreeTest {36} - *****************Calling CategoryTree API******************
15:40:08.668 [main] INFO  api.test.CategoryTreeTest {36} - *****************Called CategoryTree API******************
15:40:08.708 [main] INFO  api.test.CategoryTreeTest {36} - ************Calling CategoryTree API with invalid Querry Parameter ***********
15:40:09.096 [main] INFO  api.test.CategoryTreeTest {36} - *****************Calling CategoryTree API withour Querry Parameter ******************
15:40:09.418 [main] INFO  api.test.CategoryTreeTest {36} - *****************Calling CategoryTree API with invalid Querry Parameter to verfy the Error Code & Error Message ******************
15:40:09.710 [main] INFO  api.test.CategoryTreeTest {36} - *****************Calling CategoryTree API with valid data ******************
15:40:10.171 [main] INFO  api.test.CategoryTreeTest {36} - *****************Verified CategoryTree API Response ******************
